message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:30.543888414Z
,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426513856Z
> rest-express@1.0.0 start,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426518586Z
> NODE_ENV=production node dist/index.cjs,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426522046Z
,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426525315Z
[SEEDER] Starting startup schema seeder…,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426528545Z
[SEEDER] column practice_settings.frcpb_enrolled: already present,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426531665Z
[SEEDER] column practice_settings.frcpb_enrolled_at: already present,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426535055Z
Assigned existing data to demo organization,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426538335Z
Synced super_admin password from SUPER_ADMIN_PASSWORD env var: abeer@tekrevol.com,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426541685Z
Synced Chajinel user: daniela@chajinel.com,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426545235Z
Synced Chajinel user: djonguitud@chajinel.com,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426548525Z
"[Seeder] Chajinel practice, payers, caregivers, and test patients configured",info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""08f16c43-51ac-4d5e-8e9f-95a15482b74c"",""replica"":""42684b6c-7daf-46d5-9326-c28a46929157""}",2026-05-03T07:56:31.426551735Z
