 table_schema |           table_name            | table_type 
--------------+---------------------------------+------------
 public       | activity_logs                   | BASE TABLE
 public       | appointments                    | BASE TABLE
 public       | availability_slots              | BASE TABLE
 public       | calls                           | BASE TABLE
 public       | carc_codes                      | BASE TABLE
 public       | carc_posting_rules              | BASE TABLE
 public       | cci_edits                       | BASE TABLE
 public       | chat_analytics                  | BASE TABLE
 public       | chat_messages                   | BASE TABLE
 public       | chat_sessions                   | BASE TABLE
 public       | claim_events                    | BASE TABLE
 public       | claim_follow_up_notes           | BASE TABLE
 public       | claim_provider_assignments      | BASE TABLE
 public       | claim_templates                 | BASE TABLE
 public       | claims                          | BASE TABLE
 public       | cms_gpci                        | BASE TABLE
 public       | cms_locality_county             | BASE TABLE
 public       | cms_pfs_rvu                     | BASE TABLE
 public       | cms_zip_locality                | BASE TABLE
 public       | comm_locks                      | BASE TABLE
 public       | cpt_codes                       | BASE TABLE
 public       | delegated_entities              | BASE TABLE
 public       | denial_patterns                 | BASE TABLE
 public       | denials                         | BASE TABLE
 public       | document_types                  | BASE TABLE
 public       | email_logs                      | BASE TABLE
 public       | email_templates                 | BASE TABLE
 public       | encounters                      | BASE TABLE
 public       | era_batches                     | BASE TABLE
 public       | era_claim_lines                 | BASE TABLE
 public       | era_lines                       | BASE TABLE
 public       | field_definitions               | BASE TABLE
 public       | flow_run_events                 | BASE TABLE
 public       | flow_runs                       | BASE TABLE
 public       | flow_steps                      | BASE TABLE
 public       | flows                           | BASE TABLE
 public       | hcpcs_codes                     | BASE TABLE
 public       | hcpcs_rates                     | BASE TABLE
 public       | icd10_codes                     | BASE TABLE
 public       | leads                           | BASE TABLE
 public       | login_attempts                  | BASE TABLE
 public       | manual_extraction_items         | BASE TABLE
 public       | nurture_sequences               | BASE TABLE
 public       | org_lead_sources                | BASE TABLE
 public       | org_message_templates           | BASE TABLE
 public       | org_payer_mappings              | BASE TABLE
 public       | org_providers                   | BASE TABLE
 public       | org_service_types               | BASE TABLE
 public       | org_voice_personas              | BASE TABLE
 public       | organization_practice_profiles  | BASE TABLE
 public       | organizations                   | BASE TABLE
 public       | patient_insurance_enrollments   | BASE TABLE
 public       | patients                        | BASE TABLE
 public       | payer_auth_requirements         | BASE TABLE
 public       | payer_delegated_entities        | BASE TABLE
 public       | payer_manual_extraction_history | BASE TABLE
 public       | payer_manual_sources            | BASE TABLE
 public       | payer_source_documents          | BASE TABLE
 public       | payer_supported_plan_products   | BASE TABLE
 public       | payers                          | BASE TABLE
 public       | pcp_referrals                   | BASE TABLE
 public       | plan_products                   | BASE TABLE
 public       | pos_codes                       | BASE TABLE
 public       | practice_payer_enrollments      | BASE TABLE
 public       | practice_profiles               | BASE TABLE
 public       | practice_settings               | BASE TABLE
 public       | prior_authorizations            | BASE TABLE
 public       | provider_payer_relationships    | BASE TABLE
 public       | provider_practice_relationships | BASE TABLE
 public       | providers                       | BASE TABLE
 public       | rarc_codes                      | BASE TABLE
 public       | role_permissions                | BASE TABLE
 public       | rule_kinds                      | BASE TABLE
 public       | rules                           | BASE TABLE
 public       | scrape_runs                     | BASE TABLE
 public       | scraper_circuit_state           | BASE TABLE
 public       | scraper_monitor_log             | BASE TABLE
 public       | session                         | BASE TABLE
 public       | step_types                      | BASE TABLE
 public       | submission_attempts             | BASE TABLE
 public       | system_settings                 | BASE TABLE
 public       | taxonomy_codes                  | BASE TABLE
 public       | timely_filing_alerts            | BASE TABLE
 public       | users                           | BASE TABLE
 public       | va_fee_schedule                 | BASE TABLE
 public       | va_location_rates               | BASE TABLE
 public       | vob_verifications               | BASE TABLE
 public       | webhook_events                  | BASE TABLE
(88 rows)

