           table_name            |            column_name            |          data_type          |  udt_name   | is_nullable |                 column_default                 
---------------------------------+-----------------------------------+-----------------------------+-------------+-------------+------------------------------------------------
 activity_logs                   | id                                | character varying           | varchar     | NO          | gen_random_uuid()
 activity_logs                   | lead_id                           | character varying           | varchar     | YES         | 
 activity_logs                   | activity_type                     | text                        | text        | NO          | 
 activity_logs                   | field                             | text                        | text        | YES         | 
 activity_logs                   | old_value                         | text                        | text        | YES         | 
 activity_logs                   | new_value                         | text                        | text        | YES         | 
 activity_logs                   | description                       | text                        | text        | YES         | 
 activity_logs                   | metadata                          | jsonb                       | jsonb       | YES         | '{}'::jsonb
 activity_logs                   | performed_by                      | text                        | text        | YES         | 
 activity_logs                   | created_at                        | timestamp without time zone | timestamp   | NO          | now()
 activity_logs                   | claim_id                          | character varying           | varchar     | YES         | 
 activity_logs                   | patient_id                        | character varying           | varchar     | YES         | 
 activity_logs                   | organization_id                   | character varying           | varchar     | YES         | 
 appointments                    | id                                | character varying           | varchar     | NO          | gen_random_uuid()
 appointments                    | lead_id                           | character varying           | varchar     | NO          | 
 appointments                    | title                             | text                        | text        | NO          | 
 appointments                    | description                       | text                        | text        | YES         | 
 appointments                    | scheduled_at                      | timestamp without time zone | timestamp   | NO          | 
 appointments                    | duration                          | integer                     | int4        | NO          | 30
 appointments                    | timezone                          | text                        | text        | NO          | 'America/Chicago'::text
 appointments                    | status                            | text                        | text        | NO          | 'scheduled'::text
 appointments                    | reminder_sent                     | boolean                     | bool        | NO          | false
 appointments                    | confirmed_at                      | timestamp without time zone | timestamp   | YES         | 
 appointments                    | cancelled_at                      | timestamp without time zone | timestamp   | YES         | 
 appointments                    | cancel_reason                     | text                        | text        | YES         | 
 appointments                    | notes                             | text                        | text        | YES         | 
 appointments                    | created_at                        | timestamp without time zone | timestamp   | NO          | now()
 appointments                    | organization_id                   | character varying           | varchar     | YES         | 
 availability_slots              | id                                | character varying           | varchar     | NO          | gen_random_uuid()
 availability_slots              | day_of_week                       | integer                     | int4        | NO          | 
 availability_slots              | start_time                        | text                        | text        | NO          | 
 availability_slots              | end_time                          | text                        | text        | NO          | 
 availability_slots              | timezone                          | text                        | text        | NO          | 'America/Chicago'::text
 availability_slots              | enabled                           | boolean                     | bool        | NO          | true
