 schemaname |            tablename            |                            indexname                            |                                                                                                                indexdef                                                                                                                
------------+---------------------------------+-----------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | activity_logs                   | activity_logs_pkey                                              | CREATE UNIQUE INDEX activity_logs_pkey ON public.activity_logs USING btree (id)
 public     | activity_logs                   | idx_activity_logs_claim_id                                      | CREATE INDEX idx_activity_logs_claim_id ON public.activity_logs USING btree (claim_id)
 public     | activity_logs                   | idx_activity_logs_created_at                                    | CREATE INDEX idx_activity_logs_created_at ON public.activity_logs USING btree (created_at)
 public     | activity_logs                   | idx_activity_logs_org                                           | CREATE INDEX idx_activity_logs_org ON public.activity_logs USING btree (organization_id)
 public     | activity_logs                   | idx_activity_logs_patient_id                                    | CREATE INDEX idx_activity_logs_patient_id ON public.activity_logs USING btree (patient_id)
 public     | appointments                    | appointments_pkey                                               | CREATE UNIQUE INDEX appointments_pkey ON public.appointments USING btree (id)
 public     | appointments                    | idx_appointments_org                                            | CREATE INDEX idx_appointments_org ON public.appointments USING btree (organization_id)
 public     | availability_slots              | availability_slots_pkey                                         | CREATE UNIQUE INDEX availability_slots_pkey ON public.availability_slots USING btree (id)
 public     | availability_slots              | idx_availability_slots_org                                      | CREATE INDEX idx_availability_slots_org ON public.availability_slots USING btree (organization_id)
 public     | calls                           | calls_pkey                                                      | CREATE UNIQUE INDEX calls_pkey ON public.calls USING btree (id)
 public     | calls                           | idx_calls_org                                                   | CREATE INDEX idx_calls_org ON public.calls USING btree (organization_id)
 public     | carc_codes                      | carc_codes_code_key                                             | CREATE UNIQUE INDEX carc_codes_code_key ON public.carc_codes USING btree (code)
 public     | carc_codes                      | carc_codes_pkey                                                 | CREATE UNIQUE INDEX carc_codes_pkey ON public.carc_codes USING btree (id)
 public     | carc_posting_rules              | carc_posting_rules_carc_code_key                                | CREATE UNIQUE INDEX carc_posting_rules_carc_code_key ON public.carc_posting_rules USING btree (carc_code)
 public     | carc_posting_rules              | carc_posting_rules_pkey                                         | CREATE UNIQUE INDEX carc_posting_rules_pkey ON public.carc_posting_rules USING btree (id)
 public     | cci_edits                       | cci_edits_column_1_code_column_2_code_effective_date_ncci_v_key | CREATE UNIQUE INDEX cci_edits_column_1_code_column_2_code_effective_date_ncci_v_key ON public.cci_edits USING btree (column_1_code, column_2_code, effective_date, ncci_version)
 public     | cci_edits                       | cci_edits_pkey                                                  | CREATE UNIQUE INDEX cci_edits_pkey ON public.cci_edits USING btree (id)
 public     | cci_edits                       | idx_cci_edits_active                                            | CREATE INDEX idx_cci_edits_active ON public.cci_edits USING btree (column_1_code, column_2_code) WHERE (deletion_date IS NULL)
 public     | cci_edits                       | idx_cci_edits_column_1                                          | CREATE INDEX idx_cci_edits_column_1 ON public.cci_edits USING btree (column_1_code)
 public     | cci_edits                       | idx_cci_edits_column_2                                          | CREATE INDEX idx_cci_edits_column_2 ON public.cci_edits USING btree (column_2_code)
 public     | chat_analytics                  | chat_analytics_pkey                                             | CREATE UNIQUE INDEX chat_analytics_pkey ON public.chat_analytics USING btree (id)
 public     | chat_analytics                  | idx_chat_analytics_org                                          | CREATE INDEX idx_chat_analytics_org ON public.chat_analytics USING btree (organization_id)
 public     | chat_messages                   | chat_messages_pkey                                              | CREATE UNIQUE INDEX chat_messages_pkey ON public.chat_messages USING btree (id)
 public     | chat_messages                   | idx_chat_messages_org                                           | CREATE INDEX idx_chat_messages_org ON public.chat_messages USING btree (organization_id)
 public     | chat_sessions                   | chat_sessions_pkey                                              | CREATE UNIQUE INDEX chat_sessions_pkey ON public.chat_sessions USING btree (id)
 public     | chat_sessions                   | idx_chat_sessions_org                                           | CREATE INDEX idx_chat_sessions_org ON public.chat_sessions USING btree (organization_id)
 public     | claim_events                    | claim_events_pkey                                               | CREATE UNIQUE INDEX claim_events_pkey ON public.claim_events USING btree (id)
