           table_name            |                             conname                             |                                                                                                                                           def                                                                                                                                            | contype 
---------------------------------+-----------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------
 carc_codes                      | carc_codes_code_key                                             | UNIQUE (code)                                                                                                                                                                                                                                                                            | u
 carc_posting_rules              | carc_posting_rules_carc_code_key                                | UNIQUE (carc_code)                                                                                                                                                                                                                                                                       | u
 cci_edits                       | cci_edits_column_1_code_column_2_code_effective_date_ncci_v_key | UNIQUE (column_1_code, column_2_code, effective_date, ncci_version)                                                                                                                                                                                                                      | u
 claim_provider_assignments      | claim_provider_assignments_claim_id_role_code_provider_id_key   | UNIQUE (claim_id, role_code, provider_id)                                                                                                                                                                                                                                                | u
 claims                          | chk_timely_filing_status                                        | CHECK (((timely_filing_status = ANY (ARRAY['safe'::text, 'caution'::text, 'urgent'::text, 'critical'::text, 'expired'::text])) OR (timely_filing_status IS NULL)))                                                                                                                       | c
 claims                          | claims_pcp_referral_check_status_check                          | CHECK (((pcp_referral_check_status = ANY (ARRAY['not_required'::text, 'present_valid'::text, 'present_expired'::text, 'present_used_up'::text, 'missing'::text, 'unknown'::text])) OR (pcp_referral_check_status IS NULL)))                                                              | c
 claims                          | claims_plan_product_check                                       | CHECK (((plan_product = ANY (ARRAY['HMO'::text, 'PPO'::text, 'POS'::text, 'EPO'::text, 'Indemnity'::text, 'unknown'::text])) OR (plan_product IS NULL)))                                                                                                                                 | c
 cms_gpci                        | cms_gpci_mac_carrier_locality_code_effective_date_pfs_year_key  | UNIQUE (mac_carrier, locality_code, effective_date, pfs_year)                                                                                                                                                                                                                            | u
 cms_locality_county             | cms_locality_county_mac_carrier_locality_code_pfs_year_key      | UNIQUE (mac_carrier, locality_code, pfs_year)                                                                                                                                                                                                                                            | u
 cms_pfs_rvu                     | cms_pfs_rvu_hcpcs_code_modifier_effective_date_pfs_year_key     | UNIQUE (hcpcs_code, modifier, effective_date, pfs_year)                                                                                                                                                                                                                                  | u
 cms_zip_locality                | cms_zip_locality_zip_code_effective_date_key                    | UNIQUE (zip_code, effective_date)                                                                                                                                                                                                                                                        | u
 cpt_codes                       | cpt_codes_code_key                                              | UNIQUE (code)                                                                                                                                                                                                                                                                            | u
 field_definitions               | field_definitions_applies_to_check                              | CHECK (((applies_to)::text = ANY ((ARRAY['patient'::character varying, 'claim'::character varying])::text[])))                                                                                                                                                                           | c
 hcpcs_codes                     | hcpcs_codes_code_key                                            | UNIQUE (code)                                                                                                                                                                                                                                                                            | u
 icd10_codes                     | icd10_codes_code_key                                            | UNIQUE (code)                                                                                                                                                                                                                                                                            | u
 org_lead_sources                | org_lead_sources_organization_id_slug_key                       | UNIQUE (organization_id, slug)                                                                                                                                                                                                                                                           | u
 org_lead_sources                | org_lead_sources_source_type_check                              | CHECK ((source_type = ANY (ARRAY['web'::text, 'phone'::text, 'referral'::text, 'partner'::text, 'campaign'::text])))                                                                                                                                                                     | c
 org_message_templates           | org_message_templates_channel_check                             | CHECK ((channel = ANY (ARRAY['sms'::text, 'email'::text, 'voice'::text])))                                                                                                                                                                                                               | c
 org_message_templates           | org_message_templates_organization_id_template_key_channel_key  | UNIQUE (organization_id, template_key, channel)                                                                                                                                                                                                                                          | u
 org_service_types               | org_service_types_organization_id_service_code_key              | UNIQUE (organization_id, service_code)                                                                                                                                                                                                                                                   | u
 org_voice_personas              | org_voice_personas_organization_id_persona_key_key              | UNIQUE (organization_id, persona_key)                                                                                                                                                                                                                                                    | u
 patient_insurance_enrollments   | patient_insurance_enrollments_patient_id_payer_id_coverage__key | UNIQUE (patient_id, payer_id, coverage_priority)                                                                                                                                                                                                                                         | u
 patients                        | patients_plan_product_check                                     | CHECK (((plan_product = ANY (ARRAY['HMO'::text, 'PPO'::text, 'POS'::text, 'EPO'::text, 'Indemnity'::text, 'unknown'::text])) OR (plan_product IS NULL)))                                                                                                                                 | c
 payer_delegated_entities        | payer_delegated_entities_payer_id_delegated_entity_id_plan__key | UNIQUE NULLS NOT DISTINCT (payer_id, delegated_entity_id, plan_product_code, state)                                                                                                                                                                                                      | u
 payer_manual_extraction_history | payer_manual_extraction_history_change_type_check               | CHECK ((change_type = ANY (ARRAY['created'::text, 'edited'::text, 'approved'::text, 'rejected'::text, 'reopened'::text, 'data_corrected'::text, 'needs_reverification'::text])))                                                                                                         | c
 payer_source_documents          | chk_scrape_status                                               | CHECK (((scrape_status IS NULL) OR ((scrape_status)::text = ANY ((ARRAY['success'::character varying, 'unchanged'::character varying, 'error'::character varying, 'auth_required'::character varying, 'rate_limited'::character varying, 'circuit_open'::character varying])::text[])))) | c
 payer_source_documents          | chk_source_acquisition_method                                   | CHECK (((source_acquisition_method)::text = ANY ((ARRAY['manual_upload'::character varying, 'scraped'::character varying, 'bulletin_triggered'::character varying, 'manus_agent'::character varying, 'cms_structured'::character varying])::text[])))                                    | c
 payer_source_documents          | psd_status_check                                                | CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'processing'::character varying, 'ready_for_review'::character varying, 'completed'::character varying, 'failed'::character varying, 'superseded'::character varying])::text[])))                                     | c
 pcp_referrals                   | pcp_referrals_status_check                                      | CHECK ((status = ANY (ARRAY['active'::text, 'expired'::text, 'used_up'::text, 'revoked'::text, 'pending_verification'::text])))                                                                                                                                                          | c
 pos_codes                       | pos_codes_code_key                                              | UNIQUE (code)                                                                                                                                                                                                                                                                            | u
 practice_payer_enrollments      | practice_payer_enrollments_organization_id_payer_id_plan_pr_key | UNIQUE (organization_id, payer_id, plan_product_code)                                                                                                                                                                                                                                    | u
 provider_payer_relationships    | provider_payer_relationships_provider_id_payer_id_organizat_key | UNIQUE (provider_id, payer_id, organization_id)                                                                                                                                                                                                                                          | u
 provider_practice_relationships | provider_practice_relationshi_provider_id_organization_id_r_key | UNIQUE (provider_id, organization_id, role_code)                                                                                                                                                                                                                                         | u
 rarc_codes                      | rarc_codes_code_key                                             | UNIQUE (code)                                                                                                                                                                                                                                                                            | u
 role_permissions                | role_permissions_role_resource_key                              | UNIQUE (role, resource)                                                                                                                                                                                                                                                                  | u
 scrape_runs                     | scrape_runs_status_check                                        | CHECK (((status)::text = ANY ((ARRAY['running'::character varying, 'success'::character varying, 'partial'::character varying, 'failed'::character varying, 'circuit_open'::character varying, 'already_running'::character varying])::text[])))                                         | c
 scrape_runs                     | scrape_runs_triggered_by_check                                  | CHECK (((triggered_by)::text = ANY ((ARRAY['manual_admin'::character varying, 'cron'::character varying, 'demo_button'::character varying])::text[])))                                                                                                                                   | c
 scraper_circuit_state           | scraper_circuit_state_state_check                               | CHECK (((state)::text = ANY ((ARRAY['closed'::character varying, 'open'::character varying, 'half_open'::character varying])::text[])))                                                                                                                                                  | c
 scraper_monitor_log             | scraper_monitor_log_alert_level_check                           | CHECK (((alert_level)::text = ANY ((ARRAY['info'::character varying, 'warning'::character varying, 'error'::character varying])::text[])))                                                                                                                                               | c
 scraper_monitor_log             | scraper_monitor_log_event_type_check                            | CHECK (((event_type)::text = ANY ((ARRAY['scrape_complete'::character varying, 'synthetic_test'::character varying])::text[])))                                                                                                                                                          | c
 taxonomy_codes                  | taxonomy_codes_code_key                                         | UNIQUE (code)                                                                                                                                                                                                                                                                            | u
 timely_filing_alerts            | timely_filing_alerts_claim_id_alert_status_key                  | UNIQUE (claim_id, alert_status)                                                                                                                                                                                                                                                          | u
 users                           | users_email_unique                                              | UNIQUE (email)                                                                                                                                                                                                                                                                           | u
